CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
TALKEETNA, AK;11;15,4;22,6;34,3;45,8;55,3;58,9;55,6;46,2;31,4;17,5;13
TALLAHASSEE, FL;51,8;54,8;61,1;66,4;74,4;80,4;82,4;82,1;78,9;69,1;60,4;53,7
TAMPA, FL;61,3;62,7;67,4;71,5;77,6;81,5;82,5;82,7;81,6;75,8;69,3;63,3
TOLEDO, OH;23,9;27;37,2;48,3;59,6;68,8;73;70,8;63,5;51,8;40,5;29,2
TOPEKA, KS;27,2;33,4;44,2;54,5;64,4;73,9;78,4;76,7;68,1;56,6;42,6;31,4
TUCSON, AZ;51,7;55;59,2;66;74,5;84,1;86,5;84,9;80,9;70,5;58,7;51,9
TULSA, OK;36,4;42;51,4;60,8;69,3;78;83,5;82,2;73,5;62,6;49,7;39,7
TUPELO, MS;40,4;44,8;53,1;60,9;69,4;76,9;80,6;79,6;73,3;61,9;51,5;43,4
UNALAKLEET, AK;3,3;4,3;10,7;22,7;39,5;49;55,5;53,1;43,6;26,5;12,6;6,1
VALDEZ, AK;21,9;24,8;29,8;37,7;45,8;52,2;55,2;53,6;47,1;38,2;28,3;24,7
VALENTINE, NE;20,8;26,6;35,3;46,1;57,5;67,6;73,7;72,1;61,5;48,3;33;23,6
VERO BEACH, FL;63;63,9;67,7;71,5;76,2;80,4;81,7;81,6;80,7;76,4;70,5;64,7
VICTORIA, TX;53,2;56,7;63,7;69,7;76,6;81,8;84,2;84,2;80,1;72,3;62,7;55,2
WACO, TX;46,1;50,8;58,5;65,9;74,1;81,3;85,4;85,2;78,6;68,6;56,8;48,3
WAKE ISLAND, PC;77,8;77,3;78,2;79,2;80,8;82,6;83,3;83,3;83,6;82,6;81;79,3
WASHINGTON DULLES AP, D.C.;31,7;34,8;43,4;53,1;62,3;70,9;75,7;74,4;67,3;55;45,2;36
WASHINGTON NAT'L AP, D.C.;34,9;38,1;46,5;56,1;65,6;74,5;79,2;77,4;70,5;58,8;48,7;39,5
WATERLOO, IA;16,1;22,6;35;47,8;60,2;69,9;73,6;71,2;62,6;50,2;35,1;21,6
WEST PALM BEACH, FL;66,2;67,2;70,6;73,8;78,2;81,2;82,5;82,8;81,7;78,1;73,1;68,3
WICHITA FALLS, TX;40,5;45,7;54,2;62,4;71,4;79,7;84,8;83,5;75,6;64,7;51,9;42,9
WICHITA, KS;30,2;36,3;45,9;55,3;65;75,5;81;79,8;70,8;58,6;44,2;33,6
WILLIAMSPORT, PA;25,5;28,5;38;49;59,5;67,8;72,4;70,9;63,1;51,3;40,8;30,7
WILLISTON, ND;8;16,8;28,7;42,5;54,6;63,7;69,3;68,3;56,1;43,6;25,6;13
WILMINGTON, DE;31,5;34,2;42,7;52,4;62,5;71,5;76,6;75;67,7;55,8;45,9;36,4
WINNEMUCCA, NV;30,1;36,1;41,1;46,7;55,2;64,3;72;69,9;60,3;48,8;37,4;29,6
WINSLOW, AZ;34,2;40;46,3;53,4;62,2;72,1;77,5;75,6;68,2;55,9;43,2;34,1
WORCESTER, MA;23,6;26;34,3;45;56,3;64,7;70,1;68,3;60,2;49,6;39,6;28,9
YAKIMA, WA;29,1;35,2;42,5;48,7;56,2;62,9;69,1;68,3;60;48,6;37;28,8
YAKUTAT, AK;25,8;28,4;31,5;37,2;43,6;49,7;53,6;53,3;48,2;41,1;32,4;28,6
YAP, PC;80,1;80,3;80,8;81,5;81,7;81;80,6;80,4;80,6;80,7;80,9;80,6
YOUNGSTOWN, OH;24,9;27,7;36,7;47,4;57,6;65,9;69,9;68,4;61,5;50,8;40,7;30,4
YUMA, AZ;58,1;62;66,5;72,7;79,9;88,8;94,1;93,5;88,2;77,2;64,8;57,4
