Index,Height(cm),Weight(kg)
3101,166.3,51.5
3102,165.7,42.9
3103,172.5,54.6
3104,163.6,59.7
3105,173.3,51.4
3106,177.8,58.4
3107,170.8,59.9
3108,170.9,53.4
3109,176.5,58.8
3110,176.5,62.1
3111,172.9,54.7
3112,173.0,57.9
3113,164.1,51.3
3114,171.8,53.4
3115,175.5,66.2
3116,166.2,56.1
3117,167.8,52.8
3118,171.2,51.4
3119,174.6,55.3
3120,169.4,60.1
3121,170.4,52.8
3122,174.6,67.5
3123,177.7,60.9
3124,181.6,68.8
3125,169.4,58.2
3126,166.1,50.2
3127,171.7,57.2
3128,171.8,51.6
3129,174.5,56.9
3130,176.8,56.8
3131,173.7,56.0
3132,172.6,59.7
3133,166.2,60.7
3134,173.7,53.3
3135,177.9,61.0
3136,168.9,56.9
3137,175.3,51.8
3138,176.7,65.7
3139,164.6,60.0
3140,166.9,48.9
3141,166.9,63.6
3142,173.3,55.2
3143,167.3,57.0
3144,165.5,57.4
3145,170.1,61.7
3146,161.9,47.9
3147,177.7,66.4
3148,176.0,48.2
3149,165.6,53.5
3150,171.1,48.8
3151,177.2,54.3
3152,165.6,52.8
3153,168.4,56.7
3154,169.5,53.5
3155,166.6,58.3
3156,180.5,61.1
3157,176.0,61.6
3158,182.3,61.8
3159,161.4,47.5
3160,177.2,54.6
3161,169.5,53.7
3162,169.6,55.4
3163,183.3,70.9
3164,163.4,53.2
3165,175.9,58.5
3166,173.2,58.6
3167,172.3,59.5
3168,179.2,62.0
3169,165.8,50.3
3170,172.2,52.4
3171,169.7,59.9
3172,173.1,62.6
3173,171.4,55.8
3174,178.9,67.5
3175,173.6,56.2
3176,174.4,62.7
3177,172.6,55.5
3178,167.4,54.7
3179,173.1,55.0
3180,170.9,60.5
3181,171.3,55.2
3182,167.8,55.5
3183,176.1,61.6
3184,167.4,61.1
3185,170.8,53.3
3186,172.8,58.7
3187,174.3,55.5
3188,172.1,65.0
3189,171.6,58.1
3190,170.8,48.7
3191,181.7,66.0
3192,165.3,55.9
3193,171.3,52.6
3194,175.7,59.5
3195,170.5,50.3
3196,174.0,60.3
3197,172.9,65.0
3198,173.7,64.6
3199,182.8,62.8
3200,172.4,65.8
3201,175.1,60.7
3202,173.3,48.2
3203,167.7,53.2
3204,171.1,61.1
3205,173.3,64.4
3206,173.6,59.9
3207,174.4,62.1
3208,174.9,65.7
3209,175.4,65.1
3210,173.0,58.0
3211,171.0,57.2
3212,176.5,57.4
3213,176.3,57.9
3214,171.6,57.3
3215,168.7,48.4
3216,175.8,55.8
3217,168.1,54.9
3218,169.1,48.9
3219,169.7,61.5
3220,172.7,56.6
3221,175.5,56.0
3222,174.3,60.8
3223,181.9,71.5
3224,171.3,60.6
3225,165.4,51.6
3226,174.9,63.4
3227,167.2,56.2
3228,170.9,53.2
3229,173.6,52.0
3230,172.7,61.5
3231,177.8,59.1
3232,169.5,60.0
3233,171.4,53.0
3234,165.1,55.4
3235,180.7,66.7
3236,171.9,60.6
3237,174.7,69.9
3238,173.9,61.4
3239,169.9,54.2
3240,179.2,60.9
3241,170.3,57.5
3242,171.8,53.9
3243,171.6,54.6
3244,180.0,67.3
3245,168.2,56.8
3246,170.2,55.1
3247,171.8,58.5
3248,172.5,61.1
3249,176.1,61.9
3250,173.3,54.2
3251,170.1,61.6
3252,170.2,57.2
3253,177.7,65.5
3254,167.1,45.1
3255,175.1,60.8
3256,172.0,61.9
3257,172.5,60.5
3258,169.8,59.7
3259,177.8,61.3
3260,168.8,53.6
3261,163.0,50.4
3262,168.3,58.4
3263,174.8,59.3
3264,171.9,58.3
3265,169.6,59.1
3266,166.1,59.8
3267,169.6,54.5
3268,181.0,62.3
3269,169.2,54.9
3270,167.2,55.9
3271,176.7,59.3
3272,172.7,63.5
3273,174.5,50.5
3274,168.7,56.7
3275,170.2,55.4
3276,172.6,58.6
3277,174.4,53.0
3278,169.2,50.0
3279,171.8,59.5
3280,178.6,63.1
3281,177.2,56.5
3282,170.4,56.7
3283,173.1,57.6
3284,173.0,60.9
3285,177.1,70.6
3286,169.3,49.8
3287,175.8,64.6
3288,164.3,56.8
3289,171.8,52.8
3290,180.2,58.8
3291,171.9,59.0
3292,173.7,59.5
3293,180.2,67.7
3294,176.3,63.0
3295,163.3,58.1
3296,178.7,62.0
3297,170.3,57.8
3298,167.7,59.0
3299,170.8,60.0
3300,173.9,52.3
3301,172.7,55.1
3302,173.2,60.6
3303,175.6,61.6
3304,183.8,63.0
3305,178.2,62.9
3306,169.9,59.1
3307,172.4,59.4
3308,176.1,57.4
3309,174.9,57.0
3310,161.5,49.2
3311,171.9,66.3
3312,167.4,58.5
3313,167.7,63.0
3314,172.9,62.0
3315,174.1,62.1
3316,168.7,55.1
3317,171.8,63.1
3318,176.3,56.4
3319,179.6,61.4
3320,176.3,58.0
3321,174.5,61.2
3322,176.2,59.4
3323,175.3,60.6
3324,174.9,55.0
3325,169.4,59.1
3326,162.9,62.0
3327,166.3,54.7
3328,170.6,60.0
3329,171.5,56.3
3330,170.6,60.7
3331,169.5,59.7
3332,177.9,53.5
3333,170.6,52.8
3334,165.6,62.9
3335,173.6,58.1
3336,184.3,63.5
3337,179.6,67.1
3338,180.0,63.8
3339,170.1,59.2
3340,177.4,64.9
3341,165.5,58.5
3342,173.3,63.7
3343,169.5,64.7
3344,183.6,63.0
3345,175.7,57.9
3346,171.6,52.2
3347,167.1,54.3
3348,171.3,45.7
3349,170.8,55.7
3350,177.5,66.6
3351,182.6,65.7
3352,174.9,63.0
3353,177.9,62.1
3354,174.6,62.5
3355,175.3,63.0
3356,175.9,58.2
3357,178.0,56.6
3358,178.1,59.7
3359,169.0,54.4
3360,168.6,53.1
3361,166.9,51.7
3362,171.8,57.4
3363,164.3,49.2
3364,168.7,57.7
3365,176.0,61.1
3366,174.3,55.1
3367,174.3,65.8
3368,178.8,61.3
3369,176.0,57.9
3370,182.0,69.7
3371,178.7,70.7
3372,166.2,55.1
3373,176.9,60.7
3374,172.0,49.4
3375,177.9,59.2
3376,172.0,56.3
3377,169.8,60.1
3378,177.5,70.1
3379,174.0,56.2
3380,171.9,57.9
3381,171.8,51.8
3382,175.9,64.8
3383,175.2,52.6
3384,170.1,56.7
3385,161.1,54.3
3386,173.6,57.7
3387,178.2,59.1
3388,171.9,56.9
3389,172.3,53.5
3390,180.7,58.7
3391,177.9,62.8
3392,176.4,62.9
3393,172.2,61.2
3394,165.8,54.3
3395,176.4,59.9
3396,172.5,60.0
3397,173.1,66.7
3398,168.6,50.8
3399,174.6,58.8
3400,177.2,58.5
3401,176.4,56.9
3402,164.9,46.7
3403,164.6,54.2
3404,167.2,65.3
3405,173.6,59.0
3406,173.1,56.8
3407,168.5,57.6
3408,179.7,50.9
3409,171.4,52.2
3410,167.2,54.4
3411,171.2,55.7
3412,173.7,60.6
3413,183.4,65.4
3414,182.0,66.6
3415,178.3,60.8
3416,167.4,51.2
3417,186.3,64.6
3418,163.1,55.1
3419,166.9,55.7
3420,175.0,61.7
3421,172.9,58.0
3422,169.8,63.1
3423,176.8,56.5
3424,176.3,57.5
3425,172.8,66.2
3426,182.2,62.1
3427,170.1,60.5
3428,177.2,55.4
3429,174.8,52.5
3430,172.5,56.9
3431,174.2,58.6
3432,174.6,58.6
3433,176.9,60.4
3434,175.2,62.6
3435,169.9,53.9
3436,175.8,64.8
3437,172.7,57.3
3438,174.1,54.0
3439,172.5,53.1
3440,175.6,54.6
3441,175.5,59.9
3442,170.0,49.3
3443,171.3,48.3
3444,171.9,59.1
3445,177.9,63.7
3446,172.2,56.5
3447,185.0,63.2
3448,172.9,58.7
3449,171.3,58.6
3450,166.5,53.6
3451,171.7,53.4
3452,172.3,63.9
3453,173.9,55.6
3454,161.5,47.4
3455,172.6,58.5
3456,165.7,56.4
3457,168.8,46.2
3458,171.0,63.2
3459,166.9,60.2
3460,179.6,60.2
3461,171.2,56.4
3462,177.2,57.5
3463,166.0,54.4
3464,177.8,50.8
3465,168.2,53.2
3466,180.4,59.8
3467,169.3,55.6
3468,167.0,53.1
3469,175.8,53.5
3470,167.7,59.4
3471,167.2,56.4
3472,176.9,59.4
3473,170.7,64.4
3474,172.3,45.5
3475,161.4,57.7
3476,173.5,56.3
3477,166.3,52.9
3478,176.8,56.0
3479,167.9,50.7
3480,181.6,68.1
3481,180.1,58.1
3482,165.3,54.6
3483,169.8,50.2
3484,171.0,61.6
3485,178.9,66.2
3486,179.7,65.6
3487,177.5,58.2
3488,173.5,62.2
3489,172.3,57.7
3490,165.7,55.4
3491,172.3,63.3
3492,178.9,58.9
3493,179.2,69.4
3494,172.4,56.0
3495,177.1,62.5
3496,170.4,52.8
3497,182.6,56.9
3498,181.1,61.2
3499,169.2,53.1
3500,176.1,59.4
3501,175.7,62.7
3502,175.1,53.1
3503,166.1,53.2
3504,168.7,60.5
3505,167.6,55.1
3506,166.7,55.5
3507,170.7,58.6
3508,167.0,48.5
3509,163.4,53.9
3510,165.8,50.8
3511,181.3,60.5
3512,173.1,57.9
3513,183.0,59.6
3514,166.9,52.2
3515,170.4,57.0
3516,162.5,38.5
3517,165.8,58.7
3518,167.6,57.6
3519,173.5,63.4
3520,167.2,54.7
3521,162.9,57.8
3522,170.2,54.5
3523,175.3,60.2
3524,175.2,56.0
3525,163.6,51.9
3526,170.6,51.2
3527,174.7,53.0
3528,175.3,60.7
3529,169.6,58.2
3530,173.2,48.6
3531,170.9,58.2
3532,174.4,57.4
3533,180.5,57.1
3534,178.6,61.1
3535,184.1,69.0
3536,174.9,61.5
3537,164.3,52.6
3538,173.0,57.9
3539,171.1,64.0
3540,166.6,49.7
3541,172.8,55.5
3542,176.0,60.9
3543,174.9,61.1
3544,174.1,49.2
3545,178.8,55.1
3546,180.1,59.6
3547,161.5,51.2
3548,177.7,58.6
3549,177.5,65.6
3550,171.3,55.9
3551,167.5,59.0
3552,169.0,44.4
3553,169.1,60.7
3554,164.6,48.3
3555,174.7,63.3
3556,170.8,53.0
3557,171.8,60.7
3558,168.1,53.9
3559,171.3,55.5
3560,174.4,57.8
3561,171.2,51.7
3562,173.3,62.1
3563,167.7,49.9
3564,165.8,60.3
3565,177.6,60.1
3566,167.1,53.3
3567,172.0,59.2
3568,173.5,53.4
3569,166.7,53.4
3570,172.2,58.5
3571,163.3,47.9
3572,171.0,59.8
3573,175.2,59.8
3574,165.0,57.1
3575,175.5,56.2
3576,171.2,60.3
3577,170.9,59.5
3578,171.8,57.5
3579,179.0,68.8
3580,175.5,66.8
3581,167.8,61.1
3582,172.0,60.5
3583,170.1,50.5
3584,166.3,53.1
3585,174.5,58.9
3586,167.7,45.0
3587,167.9,58.3
3588,177.3,68.7
3589,172.1,63.2
3590,169.4,54.5
3591,175.1,56.3
3592,170.3,62.4
3593,165.8,58.7
3594,173.6,63.4
3595,173.7,67.4
3596,172.3,54.7
3597,168.6,62.9
3598,160.8,41.9
3599,169.1,61.9
3600,172.4,53.6
3601,180.2,62.9
3602,177.6,61.5
3603,164.8,47.4
3604,176.4,58.2
3605,174.2,56.9
3606,169.0,65.3
3607,174.3,56.9
3608,180.1,57.3
3609,181.0,63.4
3610,170.5,52.7
3611,164.6,44.4
3612,179.5,62.1
3613,168.0,51.2
3614,164.5,51.1
3615,173.6,54.8
3616,173.3,54.1
3617,172.0,61.5
3618,170.3,63.7
3619,177.7,64.4
3620,163.9,57.5
3621,172.4,55.9
3622,174.3,53.7
3623,172.9,61.0
3624,168.5,53.0
3625,169.4,49.4
3626,180.8,61.2
3627,164.5,49.7
3628,169.5,48.3
3629,169.5,54.2
3630,177.0,62.5
3631,179.6,68.5
3632,173.6,55.1
3633,171.9,66.6
3634,170.1,63.5
3635,176.4,52.8
3636,178.7,63.9
3637,173.5,63.5
3638,177.3,59.7
3639,172.9,65.3
3640,176.9,61.9
3641,172.6,56.5
3642,169.3,55.9
3643,184.3,63.7
3644,167.6,56.8
3645,174.6,64.5
3646,186.1,70.9
3647,162.2,51.7
3648,170.1,54.8
3649,171.9,54.7
3650,169.7,63.4
3651,169.5,54.0
3652,175.0,64.0
3653,177.6,65.1
3654,177.4,60.6
3655,176.1,62.2
3656,169.1,55.2
3657,174.9,58.0
3658,169.0,51.5
3659,166.8,58.1
3660,176.0,59.8
3661,178.2,62.7
3662,172.6,57.0
3663,169.8,54.6
3664,172.6,58.5
3665,184.0,61.9
3666,171.7,59.0
3667,174.3,53.8
3668,178.9,58.9
3669,168.7,54.2
3670,179.3,62.8
3671,177.3,58.5
3672,171.1,53.0
3673,168.7,55.9
3674,164.3,53.0
3675,176.6,57.4
3676,176.4,64.0
3677,176.2,59.7
3678,170.2,49.6
3679,174.2,52.8
3680,164.9,46.0
3681,187.1,67.1
3682,173.7,64.1
3683,173.5,63.0
3684,163.9,67.4
3685,168.0,45.8
3686,166.1,57.0
3687,165.4,48.2
3688,170.3,57.3
3689,170.2,60.9
3690,170.4,57.0
3691,165.8,51.4
3692,173.0,54.2
3693,169.4,52.7
3694,173.6,65.2
3695,169.8,51.1
3696,174.9,59.5
3697,157.2,43.4
3698,167.0,51.5
3699,174.6,64.1
3700,172.3,53.0
3701,170.2,56.3
3702,166.5,53.3
3703,171.6,54.1
3704,170.5,51.9
3705,171.8,59.0
3706,169.8,63.7
3707,173.4,65.3
3708,176.4,59.5
3709,176.7,57.3
3710,169.4,47.5
3711,173.2,55.1
3712,175.6,61.7
3713,169.1,61.8
3714,168.9,59.8
3715,168.6,53.9
3716,179.6,63.2
3717,170.6,58.6
3718,172.1,51.9
3719,165.6,51.3
3720,172.3,51.1
3721,172.8,71.5
3722,174.2,55.2
3723,167.5,54.1
3724,180.4,61.7
3725,175.8,53.0
3726,170.6,60.8
3727,164.7,54.2
3728,182.6,56.8
3729,168.4,54.3
3730,176.9,61.8
3731,169.3,51.0
3732,179.2,60.1
3733,172.2,59.7
3734,174.6,58.3
3735,169.8,62.2
3736,171.4,51.2
3737,170.5,56.5
3738,173.7,62.7
3739,174.9,62.0
3740,168.1,54.1
3741,174.9,59.5
3742,174.4,58.9
3743,177.3,70.8
3744,163.2,49.0
3745,177.1,61.8
3746,180.2,62.1
3747,178.0,63.2
3748,180.0,61.6
3749,166.4,53.8
3750,173.9,63.0
3751,174.0,63.0
3752,173.1,53.6
3753,182.8,61.4
3754,164.5,58.6
3755,178.6,61.3
3756,171.3,52.2
3757,173.3,50.9
3758,173.3,55.5
3759,174.4,58.2
3760,176.4,71.4
3761,170.2,58.2
3762,174.1,52.2
3763,173.0,68.0
3764,169.9,53.9
3765,163.5,50.8
3766,165.0,54.2
3767,173.0,55.3
3768,169.7,50.4
3769,162.3,50.9
3770,171.2,48.1
3771,175.1,60.0
3772,173.6,53.5
3773,167.3,59.8
3774,167.2,55.7
3775,171.8,57.3
3776,177.6,61.5
3777,176.4,65.6
3778,174.3,60.7
3779,174.2,63.1
3780,177.7,65.0
3781,173.9,60.7
3782,178.2,60.3
3783,171.9,68.7
3784,177.1,63.7
3785,162.9,52.6
3786,180.7,66.4
3787,178.9,61.3
3788,176.3,59.0
3789,170.8,51.4
3790,176.6,49.8
3791,177.2,70.3
3792,167.3,52.9
3793,174.1,52.6
3794,176.4,56.2
3795,179.1,59.9
3796,184.1,68.0
3797,179.3,56.0
3798,164.6,51.6
3799,175.6,56.7
3800,184.4,63.6
3801,170.9,57.0
3802,176.1,56.5
3803,175.4,52.5
3804,181.6,67.0
3805,174.2,56.1
3806,175.0,62.4
3807,177.7,54.1
3808,174.3,50.7
3809,173.5,63.8
3810,175.1,64.5
3811,166.4,59.3
3812,169.1,59.4
3813,176.4,53.9
3814,179.4,67.0
3815,174.2,63.7
3816,173.0,58.7
3817,179.2,56.9
3818,165.0,48.6
3819,172.3,58.1
3820,180.8,59.5
3821,171.9,50.9
3822,167.7,48.4
3823,175.0,57.1
3824,168.7,62.9
3825,176.3,62.5
3826,159.1,50.0
3827,167.1,58.2
3828,181.2,68.2
3829,174.1,54.6
3830,169.3,53.9
3831,170.4,60.0
3832,173.0,55.7
3833,171.3,52.7
3834,174.2,48.0
3835,169.5,50.4
3836,172.5,52.6
3837,171.7,60.2
3838,169.7,58.4
3839,167.8,47.9
3840,176.4,59.4
3841,178.0,72.5
3842,171.0,51.3
3843,166.8,47.5
3844,171.8,59.0
3845,183.8,66.4
3846,164.0,53.5
3847,169.1,57.1
3848,182.6,62.9
3849,175.4,54.0
3850,174.9,59.0
3851,173.6,57.7
3852,170.7,54.5
3853,170.0,53.0
3854,166.9,50.8
3855,179.2,62.3
3856,168.5,50.9
3857,168.5,64.1
3858,174.7,55.2
3859,175.1,59.1
3860,178.3,58.6
3861,175.7,64.2
3862,169.0,48.9
3863,177.2,64.2
3864,173.6,50.9
3865,169.4,52.8
3866,164.9,58.3
3867,165.3,46.7
3868,170.7,51.9
3869,166.7,52.0
3870,173.3,52.2
3871,182.4,68.8
3872,165.7,53.8
3873,172.3,60.2
3874,168.1,52.3
3875,176.8,60.6
3876,168.1,60.1
3877,172.3,61.0
3878,175.5,57.2
3879,168.0,59.6
3880,165.5,52.7
3881,177.3,64.1
3882,170.2,57.8
3883,175.6,63.6
3884,167.2,57.4
3885,173.2,55.3
3886,169.9,60.9
3887,165.2,46.3
3888,168.1,53.4
3889,159.8,52.0
3890,163.8,53.3
3891,169.3,50.7
3892,183.9,68.9
3893,182.4,55.8
3894,166.8,56.0
3895,170.0,48.9
3896,178.4,63.0
3897,173.3,59.3
3898,170.3,49.4
3899,179.6,54.3
3900,171.3,60.2
3901,175.3,65.4
3902,180.6,59.1
3903,169.1,54.4
3904,159.6,50.9
3905,165.1,51.1
3906,175.0,57.5
3907,171.5,54.6
3908,181.8,61.8
3909,177.6,52.1
3910,167.0,52.7
3911,172.4,59.6
3912,176.1,57.3
3913,169.1,57.5
3914,165.1,48.4
3915,168.4,61.9
3916,173.3,65.7
3917,174.5,55.0
3918,171.1,51.7
3919,176.4,60.4
3920,174.2,53.9
3921,170.5,63.3
3922,168.1,55.6
3923,165.4,62.0
3924,175.2,73.6
3925,177.1,52.7
3926,167.4,52.8
3927,168.7,55.7
3928,177.0,57.1
3929,181.2,57.7
3930,176.3,57.2
3931,170.4,57.8
3932,164.7,55.1
3933,167.6,54.5
3934,176.3,59.4
3935,178.4,67.4
3936,169.6,49.4
3937,174.1,59.9
3938,183.7,65.9
3939,168.0,56.3
3940,166.4,48.1
3941,169.8,63.7
3942,174.1,55.4
3943,170.8,61.6
3944,172.4,62.6
3945,170.4,56.1
3946,174.9,59.5
3947,166.3,58.0
3948,170.0,59.5
3949,172.6,52.9
3950,165.4,63.1
3951,175.8,65.4
3952,175.0,53.2
3953,177.1,57.7
3954,179.8,62.7
3955,173.0,65.0
3956,171.6,55.6
3957,167.8,62.4
3958,169.3,51.6
3959,171.6,61.4
3960,171.2,50.7
3961,163.0,55.8
3962,171.5,60.4
3963,167.5,48.9
3964,171.8,57.1
3965,167.5,58.5
3966,176.5,51.7
3967,171.9,61.0
3968,164.6,58.0
3969,181.1,63.1
3970,169.2,51.2
3971,168.7,55.3
3972,179.8,56.3
3973,174.5,53.6
3974,176.0,61.6
3975,170.5,49.6
3976,176.3,65.6
3977,177.0,64.6
3978,170.7,62.2
3979,171.7,51.4
3980,179.8,65.6
3981,170.1,58.4
3982,172.5,53.1
3983,167.1,52.6
3984,175.3,60.3
3985,171.6,61.0
3986,162.8,56.6
3987,173.2,58.4
3988,173.8,61.5
3989,178.3,66.5
3990,173.3,55.8
3991,172.1,60.2
3992,179.2,63.3
3993,170.5,59.3
3994,168.9,46.4
3995,172.2,55.2
3996,169.7,52.1
3997,168.9,53.1
3998,172.7,52.6
3999,171.0,53.0
4000,171.0,54.0
4001,175.3,57.5
4002,172.1,59.8
4003,170.4,61.6
4004,175.3,68.7
4005,168.0,65.3
4006,169.5,59.7
4007,168.5,59.1
4008,165.9,56.2
4009,177.3,57.4
4010,171.5,52.4
4011,180.4,67.2
4012,176.4,58.9
4013,176.2,61.4
4014,174.2,64.0
4015,158.6,49.7
4016,175.2,56.4
4017,165.7,53.7
4018,170.4,57.2
4019,174.7,60.0
4020,174.4,59.9
4021,166.8,55.3
4022,172.3,66.7
4023,174.0,61.5
4024,172.0,59.8
4025,170.6,67.9
4026,174.6,60.0
4027,179.2,65.9
4028,171.4,51.5
4029,177.9,55.3
4030,168.0,59.8
4031,160.1,53.0
4032,167.2,51.3
4033,178.0,60.3
4034,166.3,46.2
4035,169.5,54.2
4036,170.6,57.3
4037,172.5,52.8
4038,169.8,56.4
4039,168.5,62.3
4040,177.8,71.7
4041,175.8,62.0
4042,182.5,65.7
4043,172.6,52.8
4044,172.4,56.9
4045,164.7,49.5
4046,180.3,58.4
4047,175.1,67.5
4048,173.0,49.2
4049,173.9,54.8
4050,168.1,54.4
4051,173.0,64.3
4052,170.3,52.8
4053,172.7,61.9
4054,177.9,73.5
4055,177.1,62.6
4056,167.9,58.0
4057,168.9,56.3
4058,183.2,66.7
4059,168.3,61.7
4060,174.3,61.2
4061,170.2,49.2
4062,174.0,52.6
4063,169.3,60.2
4064,175.6,68.1
4065,168.5,56.4
4066,175.3,56.8
4067,173.8,59.5
4068,174.8,54.6
4069,177.1,57.5
4070,177.1,54.2
4071,173.9,55.2
4072,169.6,58.0
4073,166.1,51.6
4074,179.2,56.2
4075,167.5,56.1
4076,172.8,55.4
4077,170.6,52.0
4078,166.4,53.2
4079,171.9,55.0
4080,166.4,56.9
4081,180.4,62.7
4082,168.2,59.4
4083,175.2,52.4
4084,170.1,62.3
4085,170.5,57.6
4086,173.8,58.7
4087,172.0,59.6
4088,160.6,52.7
4089,165.7,57.6
4090,173.8,59.6
4091,169.1,55.3
4092,161.5,51.4
4093,170.7,55.9
4094,167.7,45.2
4095,170.8,56.3
4096,169.7,59.0
4097,174.0,62.2
4098,176.0,64.0
4099,169.2,46.2
4100,168.3,58.4
4101,176.2,58.9
4102,171.0,57.8
4103,162.3,51.7
4104,170.8,47.2
4105,167.5,53.1
4106,178.7,61.4
4107,174.2,59.5
4108,169.7,59.3
4109,163.7,54.2
4110,180.6,57.8
4111,183.1,56.4
4112,175.0,52.1
4113,173.8,54.9
4114,173.9,52.3
4115,165.4,48.2
4116,180.8,59.7
4117,176.3,63.5
4118,169.7,53.8
4119,174.3,55.0
4120,173.0,61.1
4121,173.3,58.2
4122,172.2,61.6
4123,171.7,57.8
4124,179.0,61.5
4125,175.0,54.2
4126,170.7,64.3
4127,176.6,62.6
4128,162.6,48.2
4129,170.8,58.5
4130,169.1,49.9
4131,185.6,65.1
4132,178.4,61.5
4133,167.4,54.8
4134,178.3,58.9
4135,165.8,50.0
4136,172.0,55.5
4137,169.3,56.7
4138,169.9,55.0
4139,177.1,61.6
4140,174.5,54.8
4141,167.6,57.0
4142,167.7,58.6
4143,175.8,66.8
4144,172.8,56.7
4145,178.9,64.2
4146,169.2,62.9
4147,173.9,57.5
4148,173.2,60.9
4149,175.7,67.2
4150,169.1,55.5
4151,170.8,57.1
4152,173.3,60.9
4153,175.1,63.9
4154,175.7,57.8
4155,173.1,57.8
4156,179.0,61.5
4157,181.5,61.1
4158,176.7,63.1
4159,183.0,67.1
4160,173.0,55.4
4161,170.5,61.7
4162,165.8,51.2
4163,172.5,57.7
4164,174.3,61.1
4165,175.2,50.0
4166,172.0,62.5
4167,164.6,60.2
4168,177.2,59.3
4169,172.3,57.5
4170,168.8,54.2
4171,178.6,61.8
4172,172.7,61.9
4173,181.5,60.2
4174,169.5,51.8
4175,168.5,53.0
4176,175.9,62.5
4177,171.6,59.0
4178,179.5,61.6
4179,171.0,61.6
4180,164.2,46.0
4181,169.1,59.2
4182,176.0,62.3
4183,176.0,54.9
4184,176.5,54.6
4185,173.4,64.0
4186,177.5,63.1
4187,179.7,61.9
4188,175.9,64.8
4189,170.2,47.3
4190,175.6,66.0
4191,181.0,54.9
4192,188.1,63.3
4193,170.6,54.8
4194,175.7,57.1
4195,173.0,57.3
4196,172.2,60.5
4197,180.6,55.9
4198,165.1,47.9
4199,178.6,64.6
4200,175.4,59.2
4201,166.3,50.1
4202,167.5,52.1
4203,173.8,60.5
4204,178.6,63.2
4205,170.4,58.7
4206,173.8,55.3
4207,167.2,61.8
4208,171.6,65.2
4209,173.9,57.6
4210,181.8,63.4
4211,177.1,63.1
4212,168.4,57.6
4213,175.1,64.8
4214,181.4,68.0
4215,176.9,65.2
4216,180.8,69.2
4217,173.5,65.1
4218,172.1,69.4
4219,173.0,60.8
4220,176.5,61.5
4221,178.2,61.1
4222,171.8,56.3
4223,169.7,53.6
4224,164.9,55.2
4225,166.0,55.1
4226,174.1,60.4
4227,172.7,52.1
4228,173.6,62.5
4229,173.5,55.6
4230,168.0,47.8
4231,172.2,54.2
4232,178.1,61.3
4233,166.7,55.4
4234,166.4,52.1
4235,172.8,62.0
4236,173.2,65.1
4237,169.3,47.1
4238,172.9,60.6
4239,171.1,54.0
4240,177.8,58.7
4241,169.1,57.6
4242,169.7,65.7
4243,178.0,55.8
4244,167.4,57.2
4245,176.6,67.1
4246,162.3,53.1
4247,175.3,59.7
4248,170.8,56.9
4249,168.0,58.4
4250,172.4,60.0
4251,169.8,52.6
4252,175.4,53.2
4253,180.0,63.6
4254,171.4,61.6
4255,178.4,60.3
4256,170.0,53.5
4257,177.6,58.0
4258,171.4,55.5
4259,165.1,49.6
4260,175.2,61.1
4261,170.9,58.6
4262,176.9,58.9
4263,171.2,61.6
4264,172.2,63.9
4265,169.6,46.1
4266,172.6,57.6
4267,166.2,57.7
4268,174.1,56.9
4269,169.5,54.8
4270,169.6,56.3
4271,170.6,53.7
4272,164.3,52.9
4273,175.7,51.5
4274,169.8,58.2
4275,168.8,59.2
4276,176.5,48.2
4277,173.6,54.1
4278,173.7,54.9
4279,176.3,54.8
4280,163.6,55.9
4281,169.2,53.7
4282,167.3,52.3
4283,173.2,55.9
4284,171.2,52.9
4285,168.4,52.8
4286,179.5,60.0
4287,170.9,55.9
4288,170.5,53.1
4289,171.7,60.2
4290,170.0,55.3
4291,179.3,66.3
4292,168.9,60.0
4293,176.6,66.4
4294,169.2,54.3
4295,171.1,62.5
4296,164.5,56.6
4297,168.8,58.4
4298,169.3,54.1
4299,179.2,56.0
4300,165.9,48.5
4301,184.1,61.0
4302,172.4,58.9
4303,174.1,49.6
4304,174.3,56.0
4305,168.9,57.0
4306,179.0,57.6
4307,164.2,62.3
4308,162.9,49.4
4309,176.0,61.4
4310,169.0,59.8
4311,176.0,55.5
4312,174.1,61.0
4313,170.8,49.3
4314,172.6,56.4
4315,166.0,59.7
4316,174.0,58.7
4317,173.1,57.9
4318,164.3,58.2
4319,168.0,59.1
4320,174.2,60.1
4321,173.6,66.2
4322,164.2,57.4
4323,174.5,61.7
4324,172.1,54.9
4325,173.9,60.1
4326,172.1,57.5
4327,164.4,52.5
4328,169.2,54.0
4329,183.6,66.2
4330,178.6,67.2
4331,169.6,55.7
4332,169.4,54.6
4333,176.3,57.4
4334,171.1,59.7
4335,170.7,56.0
4336,172.7,54.4
4337,170.4,56.0
4338,174.8,56.0
4339,180.5,60.8
4340,175.2,62.0
4341,177.3,55.0
4342,178.3,60.2
4343,171.0,51.2
4344,186.7,76.6
4345,171.3,59.6
4346,174.4,55.0
4347,174.7,57.4
4348,170.3,56.9
4349,169.8,52.1
4350,170.2,61.0
4351,174.1,60.6
4352,172.0,55.2
4353,173.8,57.5
4354,172.0,58.1
4355,178.8,51.7
4356,173.8,60.8
4357,169.7,59.7
4358,171.1,57.5
4359,172.2,59.8
4360,164.7,52.5
4361,176.7,57.3
4362,164.7,46.3
4363,176.1,63.3
4364,176.8,68.7
4365,169.0,55.4
4366,172.6,57.0
4367,168.7,55.9
4368,173.4,61.9
4369,173.2,52.8
4370,166.0,53.3
4371,172.6,51.0
